,id,lat,lon,l3,rooms,bathrooms,surface_total,surface_covered,price,property_type
14398,YhIy1fbe9DTvfgbmXXATFQ==,-34.59724426,-58.38964462,Recoleta,2.0,1.0,47.0,47.0,205000.0,Departamento
14399,t0T2JXVEeuuFWncI47aJ1Q==,-34.6012617,-58.4019551,Balvanera,1.0,1.0,32.0,27.0,57000.0,Departamento
14400,e/TqtLEZXoDosj6Fiyaubw==,-34.614149,-58.3931317,Balvanera,2.0,1.0,36.0,36.0,72000.0,Departamento
14401,bJtncHAciE9WdXhyghetfA==,-34.6231469,-58.4444175,Caballito,2.0,1.0,44.0,44.0,99000.0,Departamento
14402,+3qltZBzPYG69Nhh3AO7ZQ==,-34.624859,-58.3769001,San Telmo,2.0,1.0,52.0,46.0,104000.0,Departamento
14403,xMI7rFjvm/K4UUamCvoU7Q==,-34.624859,-58.3769001,San Telmo,2.0,1.0,52.0,46.0,88000.0,Departamento
14404,hTf1n0pW5p38sF3VwevnIA==,-34.624859,-58.3769001,San Telmo,2.0,1.0,52.0,46.0,92000.0,Departamento
14405,wotukUDP9fQKKGTgasva0Q==,-34.624859,-58.3769001,San Telmo,2.0,1.0,36.0,33.0,74000.0,Departamento
14406,WlULfYlDoBOnrGtIo7zz3A==,-34.624859,-58.3769001,San Telmo,2.0,1.0,52.0,46.0,94000.0,Departamento
14407,xdKoqK2hrglfecj0nkrBoA==,-34.624859,-58.3769001,San Telmo,2.0,1.0,52.0,46.0,100000.0,Departamento
14408,dsmmKUrXDPvwYXEb5kdzXw==,-34.624859,-58.3769001,San Telmo,2.0,1.0,52.0,46.0,97500.0,Departamento
14409,Lf8X8wZqn0Bsp5u4zFip5A==,-34.624859,-58.3769001,San Telmo,2.0,1.0,52.0,46.0,99000.0,Departamento
14410,4noGrSTCYjwQgSw07YGa7w==,-34.624859,-58.3769001,San Telmo,2.0,1.0,52.0,46.0,84000.0,Departamento
14411,qaCoT5Gh4WRSqZoTxQ/ACQ==,-34.624859,-58.3769001,San Telmo,2.0,1.0,52.0,46.0,96000.0,Departamento
14412,4vbpx2RKJ9EwSgZ5ySQYqw==,-34.624859,-58.3769001,San Telmo,2.0,1.0,36.0,33.0,72000.0,Departamento
14413,m7wETjdYfXAqdtVHFfwQRw==,-34.5730542755,-58.4453513259,Colegiales,2.0,1.0,50.0,50.0,135000.0,Departamento
14414,NWr0ZxuZye6KbUhSFuMBZQ==,-34.5889900243,-58.4002695453,Barrio Norte,2.0,1.0,63.0,63.0,215000.0,Departamento
